7.1.1.1	Chapter 1: Studying Life
7.45.3.2.1	Mechanoreceptors are also found in muscles, tendons, and ligaments
7.45.3.3.1	Hair cells are mechanoreceptors of the auditory and vestibular systems
7.45.3.4.1	Auditory systems use hair cells to sense sound waves
7.45.3.5.1	Flexion of the basilar membrane is perceived as sound
7.45.3.6.1	Various types of damage can result in hearing loss
7.45.3.7.1	The vestibular system uses hair cells to detect forces of gravity and momentum
7.45.3.8.1	The cell membranes of mechanoreceptors have cation channels that open when the membrane is disturbed by physical forces.
7.45.3.8.2	The intensity of the physical force is registered as a graded receptor potential, which in turn leads to either the release of neurotransmitter or the generation of action potentials.
7.45.3.8.3	The amount of neurotransmitter release or the rate of action potentials tells the CNS the strength of the stimulus to the mechanoreceptor.
7.45.3.8.4	A diversity of mechanoreceptor cells has evolved in different sensory systems.
7.45.3.8.5	The functions of these cells range from interpreting skin sensations to sensing blood pressure to hearing and maintaining balance.
7.45.3.9.1	focus your learning
7.45.3.10.1	A variety of pressure-sensitive receptors enable multiple modes of mechanosensation.
7.45.3.11.1	Stretch receptors in muscle spindles signal for contraction, and stretch receptors in tendons signal for relaxation.
7.45.3.12.1	As the frequency of the sound stimulus decreases, the stimulated region of the basilar membrane moves from basal to apical.
7.45.3.13.1	The ear converts sound waves in air to pressure waves in fluid that bend hair cells to create auditory sensation.
7.45.3.1.1.1	Human skin (and that of other mammals) is packed with diverse mechanoreceptors that generate varied sensations (Figure 45.6).
7.45.3.1.1.2	The most important tactile receptors, found in both hairy and non-hairy skin, are Merkel&#x2019;s discs, which adapt rather slowly and provide continuous information about anything touching the skin.
7.45.3.1.1.3	Meissner&#x2019;s corpuscles, found primarily in non-hairy skin, are very sensitive but adapt rapidly; they provide information about changes in things touching the skin.
7.45.3.1.1.4	The rapid adaptation of Meissner&#x2019;s corpuscles is why you roll a small object between your fingers (rather than holding it still) to discern its shape and texture: as you roll it, the object continually stimulates Meissner&#x2019;s corpuscles.
7.45.3.1.1.5	Figure 45.6 The Skin Feels Many Sensations
7.45.3.1.2.1	Deeper in the skin, Ruffini endings adapt slowly and are good at providing information about vibrating stimuli of low frequencies, while Pacinian corpuscles, which adapt rapidly, provide information about vibrating stimuli of higher frequencies.
7.45.3.1.2.2	Even deeper in the skin, the dendrites of sensory neurons wrap around hair follicles.
7.45.3.1.2.3	When the surface hairs are displaced, those neurons are stimulated.
7.45.3.1.3.1	The density of tactile mechanoreceptor cells varies across the body&#x2019;s surface.
7.45.3.1.3.2	By touching the skin with two toothpicks simultaneously (when a person&#x2019;s eyes are closed!), you can determine how far apart two stimuli have to be before the person can tell whether the sensations are produced by one toothpick or by two.
7.45.3.1.3.3	On back skin, stimuli have to be relatively far apart before they are perceived as two discrete stimuli.
7.45.3.1.3.4	But when this same &#x201C;two-point spatial discrimination test&#x201D; is applied to the lips or fingertips, a person can identify two stimuli as separate even when they are quite close together, because the receptor density is much greater in these regions.
7.45.3.2.1.1	An animal receives information from mechanoreceptors about the position of its limbs and the stresses on its muscles and joints.
7.45.3.2.1.2	These mechanoreceptors supply information continuously to the CNS, and this information is essential for postural control and the coordination of movements.
7.45.3.2.2.1	The mechanoreceptors in skeletal muscle are the muscle spindles.
7.45.3.2.2.2	These stretch receptors are modified muscle cells embedded in connective tissue inside muscles and innervated by sensory neurons (Figure 45.7A).
7.45.3.2.2.3	When a muscle is stretched, the muscle spindles are stretched as well, signaling the spindle neurons to transmit action potentials to the CNS.
7.45.3.2.2.4	Figure 45.1 showed how crayfish stretch receptors transduce physical force into action potentials; the actions of muscle spindles are similar.
7.45.3.2.2.5	The CNS uses the information from muscle spindles to adjust the strength of the muscle contraction so that it matches the load put on the muscle; thus a person can hold a mug steady while it is being filled.
7.45.3.2.3.1	Figure 45.7 Stretch Receptors
7.45.3.2.4.1	Another type of mechanoreceptor, the Golgi tendon organ, is found in tendons and ligaments and provides information about the force generated by a contracting muscle (Figure 45.7B).
7.45.3.2.4.2	When a contraction becomes too forceful, action potentials from the Golgi tendon organ inhibit the spinal cord motor neurons innervating that muscle, causing the muscle to relax and protecting it from tearing.
7.45.3.2.4.3	(You may recall a cell organelle called the Golgi apparatus.
7.45.3.2.4.4	What these two very different structures have in common is their discovery in the late nineteenth century by the Italian anatomist Camillo Golgi. )
7.45.3.3.1.1	Hair cells are the mechanoreceptors for the vertebrate auditory (sound-perceiving) and vestibular (equilibrium-maintaining) systems.
7.45.3.3.1.2	Both of these systems are housed in the complex structures of the vertebrate ear.
7.45.3.3.1.3	Stereocilia&#x2014;fingerlike extensions of the cell membrane stiffened by cross-linked actin filaments&#x2014;project from the surface of each hair cell like a set of organ pipes (Figure 45.8).
7.45.3.3.1.4	Stereocilia bend in response to waves of pressure; bending of the stereocilia in one direction depolarizes the hair cell, and bending in the other direction hyperpolarizes it.
7.45.3.3.2.1	Figure 45.8 Hair Cells Have Mechanosensors on Their Stereocilia
7.45.3.3.3.1	Measurements with microelectrodes have shown that the bending of stereocilia creates local electric currents near their tips, indicating that ion channels near the tips must be opening or closing.
7.45.3.3.3.2	Electron microscope images reveal minute filaments that connect the tip of each stereocilium to its taller neighbor.
7.45.3.3.3.3	It is hypothesized that these filaments are fine molecular attachments to the ion channels, and that they act like springs that open the channels.
7.45.3.3.3.4	If the taller neighboring stereocilium is bent away, the spring tightens and the ion channel is opened.
7.45.3.3.3.5	If the taller neighbor bends toward its shorter neighbor, the spring is relaxed and the channel closes (see Figure 45.8).
7.45.3.4.1.1	The stimuli that animals perceive as sounds are pressure waves.
7.45.3.4.1.2	Auditory systems use mechanoreceptors to convert pressure waves into receptor potentials.
7.45.3.4.1.3	Auditory systems include special structures that gather sound waves, direct them to the sensory organ, and amplify their effect on the mechanoreceptors.
7.45.3.4.1.4	A good example of an auditory system is the human ear (Focus: Key Figure 45.9), which can be divided into three major areas: the outer, middle, and inner ear (see Figure 45.9A).
7.45.3.4.2.1	focus: key figure
7.45.3.4.3.1	Figure 45.9 Structures of the Human Ear
7.45.3.4.4.1	Q: How can the ears detect directionality of a sound source?
7.45.3.4.1.1.1	The outer ear consists of the pinnae (singular, pinna) and the auditory canal.
7.45.3.4.1.1.2	The pinnae collect sound waves and direct them into the auditory canals; watch a dog change the orientation of its ears to focus on a particular sound to get the idea of the role pinnae play in hearing.
7.45.3.4.1.1.3	Covering the end of the auditory canal is the tympanic membrane (commonly called the eardrum) which vibrates in response to pressure waves traveling down the canal, thus converting the pressure waves to physical forces in the middle ear.
7.45.3.4.2.1.1	On the other side of the tympanic membrane is the middle ear, an air-filled cavity connected to the throat at the back of the mouth through the eustachian tube (also called the pharyngotympanic tube).
7.45.3.4.2.1.2	Because the eustachian tube is also filled with air, pressure can equilibrate between the middle ear and the environment.
7.45.3.4.2.1.3	When you have a cold, the tube can be blocked by mucus or tissue swelling and you may have difficulty equilibrating the pressure in the middle ear with the outside air pressure (as you have to do when changing altitude in an airplane).
7.45.3.4.2.2.1	The middle ear contains the ossicles, three delicate bones individually named the malleus (&#x201C;hammer&#x201D;), incus (&#x201C;anvil&#x201D;), and stapes (&#x201C;stirrup&#x201D;) (see Figure 45.9B).
7.45.3.4.2.2.2	The ossicles transmit the vibrations of the tympanic membrane to another flexible membrane, the oval window.
7.45.3.4.2.2.3	The ossicles act as a lever (like a hammer pulling out a nail), translating a large movement of the tympanic membrane into a smaller movement of the oval window, but a movement of greater force.
